date,price
2024-03-15,34.75
2024-03-14,34.45
2024-03-13,35.15
2024-03-12,34.5
2024-03-11,34.15
2024-03-08,34.5
2024-03-07,35.8
2024-03-06,36.1
2024-03-05,36.45
2024-03-04,36.0
2024-03-01,35.6
2024-02-29,35.55
2024-02-28,35.95
2024-02-27,36.15
2024-02-26,35.65
2024-02-23,35.2
2024-02-22,35.7
2024-02-21,35.55
2024-02-20,35.2
2024-02-19,35.4
2024-02-16,35.25
2024-02-15,35.0
2024-02-07,35.5
2024-02-06,34.4
2024-02-05,33.9
2024-02-02,31.7
2024-02-01,32.05
2024-01-31,31.6
2024-01-30,32.2
2024-01-29,32.3
2024-01-26,32.1
2024-01-25,32.05
2024-01-24,32.0
2024-01-23,32.2
2024-01-22,32.65
2024-01-19,32.6
2024-01-18,31.5
2024-01-17,31.15
2024-01-16,31.4
2024-01-15,31.4
2024-01-12,31.5
2024-01-11,31.0
2024-01-10,31.0
2024-01-09,30.0
2024-01-08,29.55
2024-01-05,29.0
2024-01-04,28.6
2024-01-03,27.6
2024-01-02,27.2
2023-12-29,27.1
2023-12-28,27.1
2023-12-27,26.85
2023-12-26,26.8
2023-12-25,26.9
2023-12-22,26.45
2023-12-21,26.55
2023-12-20,26.55
2023-12-19,26.5
2023-12-18,26.05
2023-12-15,26.7
2023-12-14,26.75
2023-12-13,26.75
2023-12-12,27.0
2023-12-11,26.85
2023-12-08,26.9
2023-12-07,26.9
2023-12-06,26.65
2023-12-05,26.5
2023-12-04,26.55
2023-12-01,26.3
2023-11-30,26.3
2023-11-29,29.4
2023-11-28,29.3
2023-11-27,29.4
2023-11-24,29.6
2023-11-23,29.2
2023-11-22,29.6
2023-11-21,29.4
2023-11-20,29.55
2023-11-17,29.7
2023-11-16,30.25
2023-11-15,30.2
2023-11-14,29.8
2023-11-13,29.4
2023-11-10,29.4
2023-11-09,29.5
2023-11-08,29.25
2023-11-07,28.55
2023-11-06,28.55
2023-11-03,28.0
2023-11-02,28.25
2023-11-01,27.4
2023-10-31,27.7
2023-10-30,27.65
2023-10-27,28.2
2023-10-26,28.35
2023-10-25,29.0
2023-10-24,29.5
2023-10-23,29.3
2023-10-20,29.4
2023-10-19,28.6
2023-10-18,28.35
2023-10-17,28.6
2023-10-16,28.8
2023-10-13,29.3
2023-10-12,29.6
2023-10-11,29.5
2023-10-10,29.3
2023-10-09,29.15
2023-10-06,28.7
2023-10-05,28.1
2023-10-04,28.9
2023-10-03,29.1
2023-10-02,29.95
2023-09-29,30.05
2023-09-28,30.85
2023-09-27,31.0
2023-09-26,30.3
2023-09-25,29.8
2023-09-22,31.65
2023-09-21,31.7
2023-09-20,32.05
2023-09-19,32.1
2023-09-18,32.05
2023-09-15,32.75
2023-09-14,33.2
2023-09-13,32.55
2023-09-12,32.3
2023-09-11,31.9
2023-09-08,32.3
2023-09-07,32.65
2023-09-06,32.65
2023-09-05,32.65
2023-08-31,32.45
2023-08-30,32.1
2023-08-29,31.25
2023-08-28,31.15
2023-08-25,31.15
2023-08-24,31.75
2023-08-23,31.3
2023-08-22,31.55
2023-08-21,32.0
2023-08-18,30.7
2023-08-17,32.6
2023-08-16,32.35
2023-08-15,32.4
2023-08-14,32.3
2023-08-11,32.1
2023-08-10,31.65
2023-08-09,32.5
2023-08-08,32.6
2023-08-07,32.6
2023-08-04,31.0
2023-08-03,30.9
2023-08-02,31.05
2023-08-01,30.4
2023-07-31,30.0
2023-07-28,29.5
2023-07-27,29.35
2023-07-26,29.8
2023-07-25,29.9
2023-07-24,29.85
2023-07-21,29.7
2023-07-20,29.65
2023-07-19,29.9
2023-07-18,29.85
2023-07-17,29.7
2023-07-14,29.9
2023-07-13,30.0
2023-07-12,30.0
2023-07-11,30.3
2023-07-10,29.7
2023-07-07,29.6
2023-07-06,29.35
2023-07-05,29.55
2023-07-04,29.45
2023-07-03,29.25
2023-06-30,29.5
2023-06-29,29.9
2023-06-28,30.0
2023-06-27,29.35
2023-06-26,29.25
2023-06-23,29.25
2023-06-22,29.45
2023-06-21,29.15
2023-06-20,29.2
2023-06-19,28.6
2023-06-16,28.5
2023-06-15,29.0
2023-06-14,28.7
2023-06-13,28.3
2023-06-12,28.4
2023-06-09,28.35
2023-06-08,28.55
2023-06-07,28.9
2023-06-06,28.7
2023-06-05,28.75
2023-06-02,28.65
2023-06-01,27.95
2023-05-31,28.0
2023-05-30,28.05
2023-05-29,28.0
2023-05-26,27.8
2023-05-25,27.6
2023-05-24,27.75
2023-05-23,27.9
2023-05-22,27.95
2023-05-19,28.0
2023-05-18,27.75
2023-05-17,27.5
2023-05-16,27.95
2023-05-15,28.1
2023-05-12,28.4
2023-05-11,28.35
2023-05-10,28.25
2023-05-09,28.0
2023-05-08,27.9
2023-05-05,27.85
2023-05-04,28.25
2023-04-28,28.85
2023-04-27,28.35
2023-04-26,28.4
2023-04-25,28.5
2023-04-24,28.9
2023-04-21,28.6
2023-04-20,28.75
2023-04-19,28.7
2023-04-18,29.1
2023-04-17,29.2
2023-04-14,29.1
2023-04-13,29.4
2023-04-12,29.5
2023-04-11,29.6
2023-04-10,29.35
2023-04-07,29.5
2023-04-06,29.55
2023-04-05,30.0
2023-04-04,29.65
2023-04-03,29.95
2023-03-31,29.2
2023-03-30,29.0
2023-03-29,29.0
2023-03-28,28.9
2023-03-27,28.75
2023-03-24,28.5
2023-03-23,28.7
2023-03-22,28.5
2023-03-21,28.3
2023-03-20,28.0
2023-03-17,29.0
2023-03-16,28.95
2023-03-15,29.5
2023-03-14,29.0
2023-03-13,29.3
2023-03-10,29.2
2023-03-09,29.4
2023-03-08,29.4
2023-03-07,29.0
2023-03-06,28.35
2023-03-03,27.8
2023-03-02,27.8
2023-03-01,28.25
2023-02-28,27.4
2023-02-27,27.55
2023-02-24,28.25
2023-02-23,29.0
2023-02-22,28.9
2023-02-21,29.85
2023-02-20,30.45
2023-02-17,29.65
2023-02-16,29.7
2023-02-15,28.9
2023-02-14,28.7
2023-02-13,29.15
2023-02-10,29.1
2023-02-09,29.4
2023-02-08,29.9
2023-02-07,29.2
2023-02-06,29.9
2023-02-03,29.05
2023-02-02,29.2
2023-02-01,29.0
2023-01-31,30.5
2023-01-30,29.75
2023-01-27,30.35
2023-01-19,31.1
2023-01-18,30.75
2023-01-17,30.6
2023-01-16,30.0
2023-01-13,29.1
2023-01-12,28.9
2023-01-11,29.1
2023-01-10,28.55
2023-01-09,29.1
2023-01-06,28.6
2023-01-05,28.5
2023-01-04,28.5
2023-01-03,28.0
2022-12-30,27.25
2022-12-29,27.0
2022-12-28,27.15
2022-12-27,26.6
2022-12-26,26.05
2022-12-23,27.65
2022-12-22,27.6
2022-12-21,27.5
2022-12-20,28.0
2022-12-19,27.55
2022-12-16,28.05
2022-12-15,28.25
2022-12-14,27.9
2022-12-13,28.15
2022-12-12,27.45
2022-12-09,28.05
2022-12-08,27.8
2022-12-07,27.35
2022-12-06,27.0
2022-12-05,28.6
2022-12-02,27.95
2022-12-01,26.15
2022-11-30,27.25
2022-11-29,27.4
2022-11-28,27.3
2022-11-25,25.8
2022-11-24,24.6
2022-11-23,24.4
2022-11-22,23.9
2022-11-21,24.1
2022-11-18,24.7
2022-11-17,25.0
2022-11-16,24.8
2022-11-15,23.4
2022-11-14,23.9
2022-11-11,23.6
2022-11-10,22.75
2022-11-09,24.45
2022-11-08,23.85
2022-11-07,23.35
2022-11-04,24.5
2022-11-03,23.6
2022-11-02,24.0
2022-11-01,24.45
2022-10-31,24.6
2022-10-28,24.05
2022-10-27,23.95
2022-10-26,22.4
2022-10-25,22.45
2022-10-24,21.0
2022-10-21,21.65
2022-10-20,23.25
2022-10-19,23.2
2022-10-18,23.0
2022-10-17,22.55
2022-10-14,22.7
2022-10-13,22.4
2022-10-12,21.15
2022-10-11,19.8
2022-10-10,20.7
2022-10-07,19.95
2022-10-06,21.4
2022-10-05,22.0
2022-10-04,20.75
2022-10-03,21.6
2022-09-30,23.2
2022-09-29,22.6
2022-09-28,23.3
2022-09-27,23.45
2022-09-26,23.5
2022-09-23,25.0
2022-09-22,25.4
2022-09-21,25.55
2022-09-20,26.0
2022-09-19,25.5
2022-09-16,26.2
2022-09-15,26.9
2022-09-14,27.0
2022-09-13,27.5
2022-09-12,27.05
2022-09-09,26.85
2022-09-08,26.85
2022-09-07,27.35
2022-09-06,28.25
2022-09-05,27.95
2022-08-31,28.25
2022-08-30,28.4
2022-08-29,27.9
2022-08-26,28.45
2022-08-25,28.7
2022-08-24,28.2
2022-08-23,28.0
2022-08-08,29.0
2022-08-05,29.0
2022-08-04,28.85
2022-08-03,29.1
2022-08-02,28.6
2022-08-01,28.7
2022-07-29,27.2
2022-07-28,27.6
2022-07-27,27.0
2022-07-26,26.55
2022-07-25,26.6
2022-07-22,26.9
2022-07-21,27.5
2022-07-20,27.05
2022-07-19,26.55
2022-07-18,26.9
2022-07-15,27.0
2022-07-14,27.0
2022-07-13,26.55
2022-07-12,25.7
2022-07-11,25.5
2022-07-08,25.9
2022-07-07,26.3
2022-07-06,25.85
2022-07-05,27.0
2022-07-04,26.6
2022-07-01,26.95
2022-06-30,26.15
2022-06-29,26.85
2022-06-28,26.7
2022-06-27,25.6
2022-06-24,24.75
2022-06-23,25.25
2022-06-22,23.6
2022-06-21,23.05
2022-06-20,22.6
2022-06-17,23.55
2022-06-16,24.7
2022-06-15,24.5
2022-06-14,25.25
2022-06-13,25.25
2022-06-10,27.1
2022-06-09,27.7
2022-06-08,27.7
2022-06-07,27.4
2022-06-06,27.2
2022-06-03,27.4
2022-06-02,27.75
2022-06-01,27.75
2022-05-31,27.9
2022-05-30,27.3
2022-05-27,27.0
2022-05-26,26.7
2022-05-25,26.9
2022-05-24,26.0
2022-05-23,25.0
2022-05-20,25.9
2022-05-19,26.1
2022-05-18,26.6
2022-05-17,26.25
2022-05-16,24.55
2022-05-13,23.9
2022-05-12,25.0
2022-05-11,26.7
2022-05-10,25.2
2022-05-09,25.15
2022-05-06,27.0
2022-05-05,27.9
2022-05-04,27.0
2022-04-29,27.75
2022-04-28,28.2
2022-04-27,28.3
2022-04-26,27.65
2022-04-25,27.35
2022-04-22,29.4
2022-04-21,29.0
2022-04-20,28.7
2022-04-19,28.75
2022-04-18,29.2
2022-04-15,31.0
2022-04-14,31.2
2022-04-13,31.5
2022-04-12,31.0
2022-04-08,32.05
2022-04-07,32.55
2022-04-06,32.6
2022-04-05,32.35
2022-04-04,32.85
2022-04-01,33.05
2022-03-31,32.45
2022-03-30,32.05
2022-03-29,32.0
2022-03-28,31.8
2022-03-25,32.2
2022-03-24,32.55
2022-03-23,32.85
2022-03-22,33.0
2022-03-21,32.85
2022-03-18,32.8
2022-03-17,32.7
2022-03-16,32.0
2022-03-15,31.95
2022-03-14,31.9
2022-03-11,32.25
2022-03-10,32.1
2022-03-09,32.0
2022-03-08,32.05
2022-03-07,32.15
2022-03-04,32.75
2022-03-03,32.6
2022-03-02,32.0
2022-03-01,33.3
2022-02-28,33.15
2022-02-25,33.85
2022-02-24,33.85
2022-02-23,34.85
2022-02-22,34.6
2022-02-21,34.4
2022-02-18,34.6
2022-02-17,34.9
2022-02-16,34.65
2022-02-15,34.95
2022-02-14,34.6
2022-02-11,36.8
2022-02-10,36.75
2022-02-09,36.35
2022-02-08,36.5
2022-02-07,36.3
2022-01-28,36.9
2022-01-27,36.9
2022-01-26,37.65
2022-01-25,37.0
2022-01-24,35.65
2022-01-21,35.55
2022-01-20,35.1
2022-01-19,33.8
2022-01-18,34.55
2022-01-17,35.0
2022-01-14,35.45
2022-01-13,35.15
2022-01-12,34.15
2022-01-11,33.0
2022-01-10,33.3
2022-01-07,33.2
2022-01-06,34.0
2022-01-05,34.75
2022-01-04,34.75
